"PIX TRANSF  Joadson05/03";"futebol"
"ELECTRONTK SABRINA";"lojaesportes"
"ELECTRONABALA CN";"alimentacao-doces"
"ELECTRONATELIER JUN";"casamento"
"ELECTRONCHIQUINHO S";"alimentacao-sorvete"
"ELECTRONMALURA ALIM";"alimentacao-shopmaniachurrasco"
"ELECTRONACEROLA E A";"gasolina"
"ELECTRONAUTOPISTA F";"pedagio"
"ELECTRONAUTOPISTA F";"pedagio"
"ELECTRONFUMIKO KOSE";"alimentacao-almocodomingoberingela"
"PIX TRANSF  THAYNA 10/03";"casamento"
"ELECTRONBAR DO ALEM";"alimentacao-almoco"
"ELECTRONSHOPPING IG";"alimentacao-agua"
"ELECTRONUNIDAS LOCA";"locadora"
"PIX TRANSF  DORALIC13/03";"dora"
"PIX TRANSF  Erinald13/03";"alimentacao-praia"
"ELECTRONPOSTO 4 IRM";"gasolina"
"PIX QRS ADELY SILVA14/03";"alimentacao-praia"
"PIX QRS 52386368 SE14/03";"alimentacao-praia"
"PIX TRANSF  JESSICA14/03";"alimentacao-praia"
"ELECTRONASSAI ATACA";"mercado"
"ELECTRONFORTE FARMA";"farmacia"
"ELECTRONMP*MARIA";"alimentacao-praia"
"ELECTRONALUGUEL LOC";"locadora"
"ELECTRONCAROL SORVE";"alimentacao-praia"
"ELECTRONGRAAL TRES";"gasolina"
"ELECTRONKNL SORVETE";"alimentacao-praia"
"ELECTRONMP*FOTOGRAF";"passeio"
"ELECTRONNEW MANIA C";"alimentacao-conveniencia"
"ELECTRONPAG*CarlaFe";"alimentacao-praia"
"ELECTRONPAG*ErikaCr";"alimentacao-praia"
"ELECTRONPAG*Gelsonb";"alimentacao-praia"
"ELECTRONPAG*Karolyn";"alimentacao-praia"
"ELECTRONPORTAL DAS";"gasolina"
"ELECTRONRODOSNACK I";"alimentacao-graal"
"ELECTRONSUPERMERC P";"mercado"
"PIX QRS PATRICIA SI17/03";"alimentacao-praiaaçai"
"PIX QRS PATRICIA SI17/03";"alimentacao-praiaaçai"
"PIX TRANSF  ELIZABE18/03";"emprestimo"
"PIX TRANSF  KAUA CU16/03";"estacionamento-praia"
"PIX TRANSF  NAYANA 17/03";"alimentacao-praia"
"PIX TRANSF  Rogerio16/03";"alimentacao-praia"
"PIX TRANSF  RICARDO17/03";"brinquedo-praia"
"PIX TRANSF  SEVERIN17/03";"alimentacao-praia"
"PIX TRANSF  ELIZABE03/03";"emprestimo"
