"de_para";"valor"
"Legado Parri-ct";"alimentacao"
"Chiquinho Sorvetes";"sorvete"
"Ame*americanascom 01/04";"americanas"
"Dl*google Google";"google"
"Rs Avila";"mercado"
"Pag*padariacharmosa";"padaria"
"Conectcar   *conectcar";"conectar"
"Amazon Prime Canais";"amazon"
"Scribd Inc";"livro"
"IOF - transaÃ§Ã£o internacional";"banco"
"Pag*laysrose-ct Silva";"comercio"
"Padaria Delicias Do P";"padaria"
"Drogaria Promofarm01/02";"farmacia"
"Atacadao 060 As";"mercado"
"Lombardi Alb Fast Food";"comercio"
"Filial Popey-ct Hoppin";"comercio"
"Burger King Shopping M";"alimentacao"
"Lojas Americ-ct  101";"americanas"
"Shopping Metro Tatuape";"shopping"
"Tasy Bijous -ct";"comercio"
"Cea Tam 330 -ct   01/02";"roupa"
"Shopping Met-ct Atuape";"shopping"
"Ejk Empreendimentos Em";"comercio"
"Produtos Globo";"globo"
"Mercpago*espacoceara";"alimentacao"
"Netflix.com";"netflix"
"Pag*autopostopacifici";"posto_gasolina"
"Mercado Da V-ct";"comercio"
"Posto Servco-ct Nca";"carro"
"Pag*rotisser-ct Ido";"alimentacao"
"Disney Plus";"app"
"Dm*spotify";"spotify"
"Amazon Prime Aluguel";"amazon"
"Hip.bergamini Lj 2";"mercado"
"Localiza Rac Mtzal01/02";"localiza"
"Oggi Sorvetes - Unidad";"sorvetes"
"Drogaria Sao Paulo 194";"farmacia"
"Posto Servconfianca";"gasolina"
"Dino Baby Eventos Infa";"roupa"
"Shopping Metro Expansa";"shopping"
"Pag*gapizzar-ct";"alimentacao"
"Alro Comercio De Alim";"comercio"
"Frigomundo Comercio De";"frango"
"Dl*google Cloud";"google"
"Sodie Parque Novo Mund";"sodie"
"Pag*gagosbrothers";"comercio"
"Posto Pe De Boi";"Roberto"
"Padaria Deli-ct  Do P";"padaria"
"Hip.bergamini Lj 201/02";"mercado"
"Supermercado Precito";"mercado"
"Amazonprimebr";"amazon"
"Fernando    -ct";"pessoa"
"Bate Bola Es-ct Onamen";"comercio"
"Abastec*abastece Ai";"gasolina"
"Localiza+         01/02";"localiza"
"Outlet Vila Maria 06/06";"roupa"
"Max Fama Modeling 06/12";"moda"
"Vent Vert Cn      05/06";"Vent Vert"
"Rei Do Oleo       03/03";"troca_oleo"
"Y Model           03/03";"Roberto"
"Zp          *sympl03/03";"ingresso"
"Ame*americanascom 02/02";"americanas"
"R9 Parque Nov";"escola_futebol"
"R9 Parque Nov     02/03";"escola_futebol"
"Hip.bergamini Lj 202/02";"mercado"
"Lojao Da Vil-ct";"loja_material"
"Mauro Chapol-ct";"pessoa"
"Lojao Da Vil-ct   01/02";"loja_material"
"Rick Calcados";"comercio"
"Ame*americanascom 02/04";"americanas"
"Drogaria Promofarm02/02";"farmacia"
"Cea Tam 330 -ct";"roupa"
"Cea Tam 330 -ct   02/02";"roupa"
"Localiza Rac Mtzal0";"localiza"
"Localiza Rac Mtzal02/02";"localiza"
"Localiza+         02/02";"localiza"
"Localiza+";"localiza"
"IOF - transaï¿½ï¿½o internacional";"banco"
"Centauro Sho-ct Tr01/02";"roupa"
"Hna*oboticar-ct   01/02";"boticario"
"Khelf-shop.t-ct Pe01/03";"roupa"
"Bacio Dilate Apos 10hr";"comercio"
"Ame*americanasloja";"americanas"
"Ame*americanascom 01/02";"americanas"
"Mp *espacoce-ct";"comercio"
"Banca Da Michele";"comercio"
"Estacionamen-ct Rena 7";"estacionamento"
