"de_para";"valor"
"compras";"compras"
"Pag*raizesmateriais";"raizesmateriais"
"Pag*allandia-ct";"allandia"
"Villa Nostra";"Villa"
"Legado Parri-ct";"Legado"
"Lider Agua Fria";"Lider"
"Deposito Doces Mal03/03";"Deposito"
"Mp*digitalsouza   02/02";"Mp"
"Roland Garros Cosm02/02";"Roland"
"Confeccoes Caedu  02/03";"Confeccoes"
"Hna*oboticario    02/02";"Hna"
"Fernanda Goncalves Si";"Fernanda"
"Mercearia Ch-ct S";"Mercearia"
"A Preferida Presentes";"A"
"Yingxue Ma Bijuteria";"Yingxue"
"3633 - Grsa Empada Bra";"3633"
"Bacio Di Latte";"Bacio"
"Vro - Realid-ct Virtua";"Vro"
"Roasted Pota-ct  Suco";"Roasted"
"Axe Brasil";"Axe"
"Rufplast    -ct";"Rufplast"
"Novo Tucuruvi";"Novo"
"Feirante Jesus";"Feirante"
"Pag*paulorevelesmarti";"paulorevelesmarti"
"Pag*dirceyur-ct";"dirceyur"
"Perfeita Pai-ct Docari";"Perfeita"
"Pag*antonial-ct Eidef";"antonial"
"Pag*ameliakatsuenakam";"ameliakatsuenakam"
"X 5 Ltda";"X"
"Casa Das Formas";"Casa"
"Piccoli E Silva Comer";"Piccoli"
"T.mikami    -ct   01/04";"T"
"Frigomundo Comercio De";"Frigomundo"
"Perfumaria Toque Suave";"Perfumaria"
"Pb Administradora De E";"Pb"
"Mxt Alimentos Ltda";"Mxt"
"Pag*jeronimotatuape";"jeronimotatuape"
"Republique D-ct Fe";"Republique"
"Real Novo Mundo";"Real"
"Mp*shellbox";"Mp"
"Panetteria Delicias Do";"Panetteria"
"Pag*santalim-ct";"santalim"
"Pag*mlcroupasintim03/03";"mlcroupasintim03"
"Confeccoes Caedu  03/03";"Confeccoes"
"Feirante";"Feirante"
"Embalagens Raya";"Embalagens"
"Papelaria E Bazar Tuc";"Papelaria"
"Pag*eugeniajosefadasi";"eugeniajosefadasi"
"Pag*safariev-ct S";"safariev"
"Bd          -ct";"Bd"
"Shopping Tucuruvi 2";"Shopping"
"Gemmisan Comercio De S";"Gemmisan"
"Deposito Doces Mal01/03";"Deposito"
"Servicos Automotivos R";"Servicos"
"Pag*alexpere-ct";"alexpere"
"Quitanda E Mercearia Pr";"Quitanda"
"Raimundo Martins De Car";"Raimundo"
"Filial Drive Dumont Vi";"Filial"
"Antonio Izidio";"Antonio"
"Pag*comerciodefrutas";"comerciodefrutas"
"Kfs Comercio De Chocol";"Kfs"
"Med Supermercado Ltda";"Med"
"Sun Marina";"Sun"
"Levi Da Silva Me";"Levi"
"Delucca Comercio De A";"Delucca"
"Dona Ju Refeicoes";"Dona"
"La Floresta -ct";"La"
"Pag*evandrogomesde";"evandrogomesde"
"Scribd Inc";"Scribd"
"Deposito Doces Malu";"Deposito"
"Deposito Doces Mal02/03";"Deposito"
"Av Zachi Narchi";"Av"
"Habanero";"Habanero"
"Pag*andersonlisboade";"andersonlisboade"
"Pag*rositadefreitasca";"rositadefreitasca"
"Pag*mlcroupasintim01/03";"mlcroupasintim01"
"Mp*digitalsouza   01/02";"Mp"
"Arbys      -ct\"";"Arbys"
"Reinaldo De Souza Borg";"Reinaldo"
"Roland Garros Cosm01/02";"Roland"
"Levi Da Silv-ct";"Levi"
"Mp *cantina";"Mp"
"Pag*ferdinandadealmei";"ferdinandadealmei"
"Marco Antonio Ribeiro";"Marco"
"99app*99app";"99app"
"Skala Parkin-ct Tacion";"Skala"
"Confeccoes Caedu  01/03";"Confeccoes"
"Dayane Keller Rodrigues";"Dayane"
"Pag*josejoao-ct Ma";"josejoao"
"Pag*aldaafif-ct Ellaa";"aldaafif"
"Mp*sampaingresso";"Mp"
"Delight     -ct";"Delight"
"Hna*oboticario    01/02";"Hna"
"DIF";"DIF"
"Riachuelo 100     03/03";"Riachuelo"
"Embalagens Raya   03/03";"Embalagens"
"Bauducco          02/05";"Bauducco"
"C C Manoel Gaya   02/03";"C"
"Estantevirt       02/02";"Estantevirt"
"C C Manoel Gaya";"C"
"M A Koch Lava Rapido";"M"
"F Erica Da Silva Pizz";"F"
"Pag*susanamlneveskelm";"susanamlneveskelm"
"Livraria Da Vila Ltda";"Livraria"
"Ponto Santa Cruz Comer";"Ponto"
"Emporio Raga 2";"Emporio"
"Laticinios Paulistano";"Laticinios"
"Pag*bardomane";"bardomane"
"Dia Brasil 350";"Dia"
"Caetano Alvares Point";"Caetano"
"Pag*hugoribeirosantos";"hugoribeirosantos"
"Pag*mariajoseni";"mariajoseni"
"Pag*dirceyuriko";"dirceyuriko"
