"de_para";"valor"
"ELECTRONPAG*OrielPe";"feira-frutas"
"ELECTRONPAG*Rosilen";"feira-alho"
"ELECTRONPAG*Robinso";"feira-frango"
"ELECTRONPAG*Misslei";"feira-legumes"
"ELECTRONPAG*CassioA";"feira-tapioca"
"ELECTRONPAG*JoseAdr";"feira-frutas"
"ELECTRONPG *TON FEI";"Feira-legumes"
"ELECTRONBABANAS VIT";"feira-frutas"
"ELECTRONPAG*Rodrigo";"feira-ovos"
"ELECTRONPONTO DA ES";"alimentacao"
"ELECTRONPAG*VictorH";"alimentacao"
"PIX QRS B2W COMPANH22/07";"americanas"
"ELECTRONBOCA DA ONC";"viagem"
"TAR PACOTE ITAU   JUN/23";"banco"
"ELECTRON001";"mercado"
"ELECTRONPAG*Arqueni";"pessoa"
"ELECTRONPAG*WmgEsta";"pessoa"
"ELECTRONINTERNACION";"shopping"
"ELECTRONBANANA SPLI";"alimentacao"
"ELECTRONSALGADO E A";"alimentacao"
"ELECTRONREI DO OLEO";"carro"
"FINANC IMOBILIARIO   016";"financiamento"
"ELECTRONFRUTAS SERG";"Feira-frutas"
"PIX TRANSF  Matheus29/07";"alimentacao"
"PIX TRANSF  erlonds02/06";"cabeleireiro"
"PIX TRANSF  Mayara 02/06";"pipoca"
"TAR PACOTE ITAU   MAI/23";"banco"
"PIX QRS Shopee12/06";"shopee"
"PIX TRANSF  EDMILSO12/06";"churros"
"FINANC IMOBILIARIO   015";"financiamento"
"PIX TRANSF  erlonds27/06";"cabeleireiro"
"PIX TRANSF  EDMILSO28/06";"churros"
"PIX TRANSF  EDMILSO03/04";"churros"
"TAR PACOTE ITAU   MAR/23";"banco"
"PIX TRANSF  EDMILSO06/04";"churros"
"PIX TRANSF  EDMILSO12/04";"churros"
"PIX TRANSF  EDMILSO18/04";"churros"
"FINANC IMOBILIARIO   013";"financiamento"
"PIX TRANSF  EDMILSO27/04";"churros"
"PIX TRANSF  TAMINIE28/04";"pessoa"
"APM – Creche Eloha";"creche"
"estacionamento";"estacionamento"
"TAR PACOTE ITAU   DEZ/22";"banco"
"FINANC IMOBILIARIO   010";"financiamento"
"MOBILEPAG TIT BANCO 001";"boleto"
"TAR PACOTE ITAU   JAN/23";"banco"
"PIX QRS CASA LOTERI06/02";"transporte"
"PIX TRANSF  EDMILSO15/02";"churros"
"ELECTRONPAG*LUCASVI";"feira-frutas"
"FINANC IMOBILIARIO   011";"financiamento"
"PIX TRANSF  EDMILSO24/02";"churros"
"PIX TRANSF  EDMILSO28/02";"churros"
"PIX TRANSF  EDMILSO02/05";"churros"
"TAR PACOTE ITAU   ABR/23";"banco"
"PIX TRANSF  EDMILSO08/05";"churros"
"PIX TRANSF  erlonds09/05";"cabeleireiro"
"PIX TRANSF  EDMILSO18/05";"churros"
"FINANC IMOBILIARIO   014";"financiamento"
"ELECTRONS L BENFICA";"alimentacao"
"Ame Digital";"ame"
"Netflix.com";"netflix"
"Uber   *uber   *trip";"uber"
"Auto Posto Lutaif";"carro"
"Auto Socorro-ct Ia03/06";"carro"
"Olibone Pneus     03/06";"carro"
"Olibone Pneus";"carro"
"Olibone Pneus     02/06";"carro"
"Tokiomarine*auto03d12";"carro"
"Posto Preside";"carro"
"Produtos Globo";"globo"
"Pag*leroymerlin   01/03";"leroy"
"Pag*leroymerlin";"leroy"
"Pag*mlcroupasintim02/03";"roupa"
"Torra Torra       01/03";"roupa"
"Disney Plus";"disney"
"Dl*google Google";"google"
"Kalunga Nova-ct Tareir";"kalunga"
"Trimais Ii        01/02";"mercado"
"Trimais Ii";"mercado"
"Gps E Jisv Supermerca";"mercado"
"Sonda Supermercados";"mercado"
"Sonda Supermercado02/02";"mercado"
"Trimais Ii        02/02";"mercado"
"Arizona Paes";"padaria"
"Ebanx       *spotify";"spotify"
"Red Fitness Ourin 06/12";"academia"
"Academia Cor-ct   02/02";"academia"
"Academia Corpo E  01/02";"academia"
"King Star Colchoes01/10";"colch�o"
"Promofarma        03/03";"farmacia"
"Drogaria Promofarma";"farmacia"
"Raia 47";"farmacia"
"Ppro   *microsoft";"microsoft"
"Lojas Americanas 801/03";"americanas"
"Ame Digital       07/12";"americanas"
"Ame Digital       07/10";"americanas"
"Ame Digital       02/02";"americanas"
"Restaurante D Laura L\"";"alimentacao"
"Lachonote Castelo Novo";"alimentacao"
"Burger King Fs Sp Rua";"alimentacao"
"Localiza Rac Actie01/03";"aluguel_carro"
"Microsoft*microsoft 365";"app"
"Amazonprimebr";"app"
"Auto Socorro-ct Ia04/06";"carro"
"Olibone Pneus     04/06";"carro"
"Pag*leroymerlin   02/03";"leroy"
"Tip Top Eldorado";"roupa"
