data,lançamento,ag./origem,valor (R$),saldos (R$),nome_arquivo,data_base
29/12/2023,SALDO ANTERIOR,,,10.0,custo_2024_01.xls,01/01/2024
02/01/2024,SAQUE 24H 989950544,9029,-100.0,,custo_2024_01.xls,01/01/2024
02/01/2024,ELECTRONCASAS PERNA,9212,-201.96,,custo_2024_01.xls,01/01/2024
02/01/2024,ELECTRONFRUTAS SERG,9212,-5.0,,custo_2024_01.xls,01/01/2024
02/01/2024,ELECTRONGEORGE S TO,9212,-20.0,,custo_2024_01.xls,01/01/2024
02/01/2024,ELECTRONLANCHONETE,9212,-20.0,,custo_2024_01.xls,01/01/2024
02/01/2024,ELECTRONMAIK GUSHI,9212,-20.0,,custo_2024_01.xls,01/01/2024
02/01/2024,ELECTRONMP*ORIEL,9212,-10.0,,custo_2024_01.xls,01/01/2024
02/01/2024,ELECTRONORIEL PEREI,9212,-105.0,,custo_2024_01.xls,01/01/2024
02/01/2024,ELECTRONPAG*Barraca,9212,-5.0,,custo_2024_01.xls,01/01/2024
02/01/2024,ELECTRONPAG*Barraca,9212,-5.01,,custo_2024_01.xls,01/01/2024
02/01/2024,ELECTRONPAG*CarlosD,9212,-30.0,,custo_2024_01.xls,01/01/2024
02/01/2024,ELECTRONPAG*Cassioa,9212,-11.0,,custo_2024_01.xls,01/01/2024
02/01/2024,ELECTRONPAG*Claudio,9212,-30.0,,custo_2024_01.xls,01/01/2024
02/01/2024,ELECTRONPAG*LuizaDe,9212,-8.0,,custo_2024_01.xls,01/01/2024
02/01/2024,ELECTRONPAG*LUCASVI,9212,-13.0,,custo_2024_01.xls,01/01/2024
02/01/2024,ELECTRONPAG*Rodrigo,9212,-12.5,,custo_2024_01.xls,01/01/2024
02/01/2024,ELECTRONPAG*SANDROC,9212,-3.0,,custo_2024_01.xls,01/01/2024
02/01/2024,ELECTRONPAG*ZEDOMIL,9212,-14.0,,custo_2024_01.xls,01/01/2024
02/01/2024,ELECTRONPG *TON FEI,9212,-19.0,,custo_2024_01.xls,01/01/2024
02/01/2024,ELECTRONPOSTO SERVC,9212,-100.0,,custo_2024_01.xls,01/01/2024
02/01/2024,ELECTRONROSE FEIRAN,9212,-5.0,,custo_2024_01.xls,01/01/2024
02/01/2024,ELECTRONTOTAL ECONO,9212,-134.0,,custo_2024_01.xls,01/01/2024
02/01/2024,PIX TRANSF  IMW 3 R31/12,9126,-100.0,,custo_2024_01.xls,01/01/2024
02/01/2024,SABESP      3082129325,9293,-325.72,,custo_2024_01.xls,01/01/2024
02/01/2024,REND PAGO APLIC AUT MAIS,,0.44,,custo_2024_01.xls,01/01/2024
02/01/2024,SDO CTA/APL AUTOMATICAS,,,8424.29,custo_2024_01.xls,01/01/2024
03/01/2024,MOBILEPAG TIT BANCO 237,9925,-687.15,,custo_2024_01.xls,01/01/2024
03/01/2024,TAR PACOTE ITAU   DEZ/23,9293,-88.9,,custo_2024_01.xls,01/01/2024
03/01/2024,REND PAGO APLIC AUT MAIS,,0.11,,custo_2024_01.xls,01/01/2024
03/01/2024,SDO CTA/APL AUTOMATICAS,,,7648.35,custo_2024_01.xls,01/01/2024
04/01/2024,ELECTRONJ R CAFE,9212,-5.0,,custo_2024_01.xls,01/01/2024
04/01/2024,PIX TRANSF  Bianca 04/01,9128,-15.0,,custo_2024_01.xls,01/01/2024
04/01/2024,REND PAGO APLIC AUT MAIS,,0.01,,custo_2024_01.xls,01/01/2024
04/01/2024,SDO CTA/APL AUTOMATICAS,,,7628.36,custo_2024_01.xls,01/01/2024
05/01/2024,INT MULTA REN31997756838,4175,-143.3,,custo_2024_01.xls,01/01/2024
05/01/2024,ELECTRONDROGARIA SA,9212,-52.97,,custo_2024_01.xls,01/01/2024
05/01/2024,PIX TRANSF  IMW 3 R05/01,9121,-240.99,,custo_2024_01.xls,01/01/2024
05/01/2024,PAGTO SALARIO,1268,2409.98,,custo_2024_01.xls,01/01/2024
05/01/2024,DA  CLARO MOVEL 46827990,9293,-54.1,,custo_2024_01.xls,01/01/2024
05/01/2024,SDO CTA/APL AUTOMATICAS,,,9546.98,custo_2024_01.xls,01/01/2024
08/01/2024,ELECTRONBANANAS ANA,9212,-15.0,,custo_2024_01.xls,01/01/2024
08/01/2024,ELECTRONFDI FERNAO,9212,-65.7,,custo_2024_01.xls,01/01/2024
08/01/2024,ELECTRONFGR COMERCI,9212,-250.0,,custo_2024_01.xls,01/01/2024
08/01/2024,ELECTRONPADARIA DEL,9212,-12.44,,custo_2024_01.xls,01/01/2024
08/01/2024,ELECTRONPAG*HudsonS,9212,-10.0,,custo_2024_01.xls,01/01/2024
08/01/2024,ELECTRONPAG*OrielPe,9212,-10.0,,custo_2024_01.xls,01/01/2024
08/01/2024,ELECTRONPAG*Robinso,9212,-30.0,,custo_2024_01.xls,01/01/2024
08/01/2024,ELECTRONPAG*Rosilen,9212,-11.0,,custo_2024_01.xls,01/01/2024
08/01/2024,ELECTRONPG *TON FEI,9212,-9.0,,custo_2024_01.xls,01/01/2024
08/01/2024,ELECTRONPONTO DA ES,9212,-28.8,,custo_2024_01.xls,01/01/2024
08/01/2024,ELECTRONPOSTO SERVC,9212,-100.0,,custo_2024_01.xls,01/01/2024
08/01/2024,ELECTRONSUPERMERCAD,9212,-282.53,,custo_2024_01.xls,01/01/2024
08/01/2024,PIX QRS CEA PAY08/01,9130,-187.25,,custo_2024_01.xls,01/01/2024
08/01/2024,PIX QRS PORTOSEG SA08/01,9130,-162.27,,custo_2024_01.xls,01/01/2024
