"data";"lançamento";"";"valor";"nome_arquivo";"data_base"
"08/01/2026";"GITHUB, INC.GITHUB.COMUS";"";"57";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"08/01/2026";"IOF INTERNACIONAL - GITHUB, INC.GITHUB.COMUS";"";"2";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"08/01/2026";"Serasa ExperianSao PauloBR";"";"23.9";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"06/01/2026";"Google OneSAO PAULOBR";"";"96.99";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"06/01/2026";"DL*GOOGLE YouTubSAO PAULOBR";"";"2.99";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"05/01/2026";"Turbi Fechamento da viSAO PAULOBR";"";"341.27";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"05/01/2026";"THE WALT DISNEY COMPANY (SAO PAULOBR";"";"44.5";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"02/01/2026";"AWS BrazilSao PauloBR";"";"187.95";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"02/01/2026";"NETFLIX.COMSAO PAULOBR";"";"20.9";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"01/01/2026";"AWS BrazilSao PauloBR";"";"150.4";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"01/01/2026";"DL *GOOGLE CLOUD wTGCwSao PabloBR";"";"45.68";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"31/12/2025";"ATACADAOSAO PAULOBR";"";"126.56";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"31/12/2025";"LOCALIZA RAC ACTAT1SAO PAULOBR";"";"385.92";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"30/12/2025";"DROGARIA SAO PAULO 194SAO PAULOBR";"";"99.02";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"29/12/2025";"Turbi FechamentoSao PauloBR";"";"103.83";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"27/12/2025";"TurbiSao PauloBR";"";"111.05";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"27/12/2025";"5M COMERCIO ATACADISTASAO PAULOBR";"";"200";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"27/12/2025";"FERNAO DIASSAO PAULOBR";"";"100";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"26/12/2025";"TheBestAcaiVilaSAO PAULOBR";"";"14.54";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"26/12/2025";"TheBestAcaiVilaSAO PAULOBR";"";"70.32";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"25/12/2025";"ADEGA DA VILAMAIRIPORABR";"";"164.86";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"24/12/2025";"EBN*SPOTIFYCURITIBABR";"";"23.9";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"24/12/2025";"MARGINAL TIETE TATUAPESAO PAULOBR";"";"96.8";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"24/12/2025";"REDE CONFIANCASAO PAULOBR";"";"110";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"24/12/2025";"RW NEGOCIOS COMERCIAISGUARULHOSBR";"";"133";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"24/12/2025";"BORALECOTIABR";"";"64.9";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"24/12/2025";"LOJAS AMERICANAS 256GUARULHOSBR";"";"83.39";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"24/12/2025";"HNA*OBOTICARIOGUARULHOSBR";"";"58.4";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"24/12/2025";"CENTAURO CE187GUARULHOSBR";"";"60.03";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"23/12/2025";"SEG CARTAO PROTEGIDO";"";"16.39";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"22/12/2025";"TurbiSao PauloBR";"";"187.07";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"18/12/2025";"DROGARIA SAO PAULO 194SAO PAULOBR";"";"121.16";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"17/12/2025";"DROGASIL3462SAO PAULOBR";"";"73.75";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"16/12/2025";"Turbi Fechamento da viSAO PAULOBR";"";"26.35";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"15/12/2025";"PAGAMENTO COM SALDO";"";"-4731.01";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"14/12/2025";"ENG CAETANO ALVARESSAO PAULOBR";"";"75.7";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"12/12/2025";"TurbiSAO PAULOBR";"";"245.95";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"12/12/2025";"TurbiSAO PAULOBR";"";"600";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"10/12/2025";"DL*GOOGLE YouTubSAO PAULOBR";"";"26.9";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"08/12/2025";"SHOPEE *HOUSEDESIGNFranco Da RocBR";"";"94";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"06/12/2025";"MP*BMUTILIDADESSO PAULOBR";"";"185";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"28/11/2025";"KIWIFY*PreparacaoUruguaianaBR";"";"30.71";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"27/11/2025";"Turbi FechamentoSAO PAULOBR";"";"68.1";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"24/11/2025";"TurbiSAO PAULOBR";"";"94.35";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"15/11/2025";"HIP.BERGAMINI LJ 2SAO PAULOBR";"";"431.23";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"13/11/2025";"LocalizaBelo HorizontBR";"";"171.51";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"10/11/2025";"LOCALIZABELO HORIZONTBR";"";"140.02";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"08/11/2025";"LocalizaBelo HorizontBR";"";"137.81";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"27/10/2025";"GMP COMERCIO DE ROUPASGUARULHOSBR";"";"101.65";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"27/10/2025";"FIRST CLASS SO MARCASGUARULHOSBR";"";"106.65";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"27/10/2025";"VIA BRASIL FASHION COMGUARULHOSBR";"";"86.66";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"27/10/2025";"NFS ZONA NORTEGUARULHOSBR";"";"100";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"15/10/2025";"UNIDAS LOCADORA SPSTSAO PAULOBR";"";"170.33";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"15/10/2025";"SEDUCTIONSAO PAULOBR";"";"116.33";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"14/10/2025";"LocalizaBelo HorizontBR";"";"74.72";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"14/10/2025";"RI HAPPY BRINQUEDOS SASAO PAULOBR";"";"54.99";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"04/09/2025";"HOTMART AIPROEXPBELO HORIZONTBR";"";"154.91";"credito_uniclass_signature_2026_01.csv";"01/01/2026"
"08/02/2026";"GITHUB, INC.GITHUB.COMUS";"";"55.5";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"08/02/2026";"IOF INTERNACIONAL - GITHUB, INC.GITHUB.COMUS";"";"1.94";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"08/02/2026";"Serasa ExperianSao PauloBR";"";"23.9";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"06/02/2026";"Google OneSAO PAULOBR";"";"96.99";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"06/02/2026";"DL*GOOGLE YouTubSAO PAULOBR";"";"2.99";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"05/02/2026";"Globo GloboplayRJBR";"";"22.9";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"05/02/2026";"THE WALT DISNEY COMPANY (SAO PAULOBR";"";"44.5";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"02/02/2026";"AWS BrazilSao PauloBR";"";"179.55";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"02/02/2026";"NETFLIX.COMSAO PAULOBR";"";"20.9";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"01/02/2026";"AWS BrazilSao PauloBR";"";"148.11";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"01/02/2026";"DL *GOOGLE CLOUD 4GCSzSao PabloBR";"";"47.41";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"27/01/2026";"Turbi Multa J005796575Sao PauloBR";"";"156.19";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"24/01/2026";"EBN*SPOTIFYCURITIBABR";"";"23.9";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"23/01/2026";"ATACADAO 060 ASSAO PAULOBR";"";"132.29";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"23/01/2026";"SEG CARTAO PROTEGIDO";"";"16.39";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"20/01/2026";"5M COMERCIO ATACADISTASAO PAULOBR";"";"215.38";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"19/01/2026";"PAGAMENTO COM SALDO";"";"-6672.34";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"17/01/2026";"TRIMAIS IISAO PAULOBR";"";"150.07";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"14/01/2026";"TOKIO MARINE*AUTOSAO PAULOBR";"";"235.45";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"10/01/2026";"UBER *TRIP HELP.UBER.COMSAO PAULOBR";"";"8.36";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"10/01/2026";"DL*GOOGLE YouTubSAO PAULOBR";"";"26.9";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"31/12/2025";"ATACADAOSAO PAULOBR";"";"126.54";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"31/12/2025";"LOCALIZA RAC ACTAT1SAO PAULOBR";"";"385.9";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"30/12/2025";"DROGARIA SAO PAULO 194SAO PAULOBR";"";"99.02";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"29/12/2025";"Turbi FechamentoSao PauloBR";"";"103.8";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"27/12/2025";"TurbiSao PauloBR";"";"111.01";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"24/12/2025";"RW NEGOCIOS COMERCIAISGUARULHOSBR";"";"133";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"24/12/2025";"LOJAS AMERICANAS 256GUARULHOSBR";"";"83.38";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"24/12/2025";"HNA*OBOTICARIOGUARULHOSBR";"";"58.36";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"24/12/2025";"CENTAURO CE187GUARULHOSBR";"";"59.99";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"22/12/2025";"TurbiSao PauloBR";"";"187.02";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"18/12/2025";"DROGARIA SAO PAULO 194SAO PAULOBR";"";"121.16";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"17/12/2025";"DROGASIL3462SAO PAULOBR";"";"73.74";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"06/12/2025";"MP*BMUTILIDADESSO PAULOBR";"";"185";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"28/11/2025";"KIWIFY*PreparacaoUruguaianaBR";"";"30.71";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"13/11/2025";"LocalizaBelo HorizontBR";"";"171.51";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"08/11/2025";"LocalizaBelo HorizontBR";"";"137.81";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"27/10/2025";"GMP COMERCIO DE ROUPASGUARULHOSBR";"";"101.65";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"15/10/2025";"UNIDAS LOCADORA SPSTSAO PAULOBR";"";"170.33";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"14/10/2025";"RI HAPPY BRINQUEDOS SASAO PAULOBR";"";"54.99";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"04/09/2025";"HOTMART AIPROEXPBELO HORIZONTBR";"";"154.91";"credito_uniclass_signature_2026_02.csv";"01/02/2026"
"18/02/2026";"PAGAMENTO COM SALDO";"";"-4159.45";"credito_uniclass_signature_2026_03.csv";"01/03/2026"
"12/02/2026";"ESPACO SUSAN PIERSAO PAULOBR";"";"303";"credito_uniclass_signature_2026_03.csv";"01/03/2026"
"10/02/2026";"DL*GOOGLE YouTubSAO PAULOBR";"";"26.9";"credito_uniclass_signature_2026_03.csv";"01/03/2026"
"23/01/2026";"ATACADAO 060 ASSAO PAULOBR";"";"132.27";"credito_uniclass_signature_2026_03.csv";"01/03/2026"
"17/01/2026";"TRIMAIS IISAO PAULOBR";"";"150.07";"credito_uniclass_signature_2026_03.csv";"01/03/2026"
"31/12/2025";"ATACADAOSAO PAULOBR";"";"126.54";"credito_uniclass_signature_2026_03.csv";"01/03/2026"
"31/12/2025";"LOCALIZA RAC ACTAT1SAO PAULOBR";"";"385.9";"credito_uniclass_signature_2026_03.csv";"01/03/2026"
"30/12/2025";"DROGARIA SAO PAULO 194SAO PAULOBR";"";"99.02";"credito_uniclass_signature_2026_03.csv";"01/03/2026"
"29/12/2025";"Turbi FechamentoSao PauloBR";"";"103.8";"credito_uniclass_signature_2026_03.csv";"01/03/2026"
"27/12/2025";"TurbiSao PauloBR";"";"111.01";"credito_uniclass_signature_2026_03.csv";"01/03/2026"
"24/12/2025";"RW NEGOCIOS COMERCIAISGUARULHOSBR";"";"133";"credito_uniclass_signature_2026_03.csv";"01/03/2026"
"24/12/2025";"LOJAS AMERICANAS 256GUARULHOSBR";"";"83.38";"credito_uniclass_signature_2026_03.csv";"01/03/2026"
"24/12/2025";"HNA*OBOTICARIOGUARULHOSBR";"";"58.36";"credito_uniclass_signature_2026_03.csv";"01/03/2026"
"24/12/2025";"CENTAURO CE187GUARULHOSBR";"";"59.99";"credito_uniclass_signature_2026_03.csv";"01/03/2026"
"22/12/2025";"TurbiSao PauloBR";"";"187.02";"credito_uniclass_signature_2026_03.csv";"01/03/2026"
"18/12/2025";"DROGARIA SAO PAULO 194SAO PAULOBR";"";"121.16";"credito_uniclass_signature_2026_03.csv";"01/03/2026"
"17/12/2025";"DROGASIL3462SAO PAULOBR";"";"73.74";"credito_uniclass_signature_2026_03.csv";"01/03/2026"
"06/12/2025";"MP*BMUTILIDADESSO PAULOBR";"";"185";"credito_uniclass_signature_2026_03.csv";"01/03/2026"
"28/11/2025";"KIWIFY*PreparacaoUruguaianaBR";"";"30.71";"credito_uniclass_signature_2026_03.csv";"01/03/2026"
"13/11/2025";"LocalizaBelo HorizontBR";"";"171.51";"credito_uniclass_signature_2026_03.csv";"01/03/2026"
"27/10/2025";"GMP COMERCIO DE ROUPASGUARULHOSBR";"";"101.65";"credito_uniclass_signature_2026_03.csv";"01/03/2026"
"15/10/2025";"UNIDAS LOCADORA SPSTSAO PAULOBR";"";"170.33";"credito_uniclass_signature_2026_03.csv";"01/03/2026"
"04/09/2025";"HOTMART AIPROEXPBELO HORIZONTBR";"";"154.91";"credito_uniclass_signature_2026_03.csv";"01/03/2026"
"12/02/2026";"ESPACO SUSAN PIERSAO PAULOBR";"";"303";"credito_uniclass_signature_2026_04.csv";"01/04/2026"
"23/01/2026";"ATACADAO 060 ASSAO PAULOBR";"";"132.27";"credito_uniclass_signature_2026_04.csv";"01/04/2026"
"31/12/2025";"LOCALIZA RAC ACTAT1SAO PAULOBR";"";"385.9";"credito_uniclass_signature_2026_04.csv";"01/04/2026"
"29/12/2025";"Turbi FechamentoSao PauloBR";"";"103.8";"credito_uniclass_signature_2026_04.csv";"01/04/2026"
"27/12/2025";"TurbiSao PauloBR";"";"111.01";"credito_uniclass_signature_2026_04.csv";"01/04/2026"
"24/12/2025";"HNA*OBOTICARIOGUARULHOSBR";"";"58.36";"credito_uniclass_signature_2026_04.csv";"01/04/2026"
"24/12/2025";"CENTAURO CE187GUARULHOSBR";"";"59.99";"credito_uniclass_signature_2026_04.csv";"01/04/2026"
"22/12/2025";"TurbiSao PauloBR";"";"187.02";"credito_uniclass_signature_2026_04.csv";"01/04/2026"
"28/11/2025";"KIWIFY*PreparacaoUruguaianaBR";"";"30.71";"credito_uniclass_signature_2026_04.csv";"01/04/2026"
"27/10/2025";"GMP COMERCIO DE ROUPASGUARULHOSBR";"";"101.65";"credito_uniclass_signature_2026_04.csv";"01/04/2026"
"15/10/2025";"UNIDAS LOCADORA SPSTSAO PAULOBR";"";"170.33";"credito_uniclass_signature_2026_04.csv";"01/04/2026"
"04/09/2025";"HOTMART AIPROEXPBELO HORIZONTBR";"";"154.91";"credito_uniclass_signature_2026_04.csv";"01/04/2026"
"12/02/2026";"ESPACO SUSAN PIERSAO PAULOBR";"";"303";"credito_uniclass_signature_2026_05.csv";"01/05/2026"
"29/12/2025";"Turbi FechamentoSao PauloBR";"";"103.8";"credito_uniclass_signature_2026_05.csv";"01/05/2026"
"27/12/2025";"TurbiSao PauloBR";"";"111.01";"credito_uniclass_signature_2026_05.csv";"01/05/2026"
