data,lançamento,valor
2026-02-08,GITHUB, INC.GITHUB.COMUS,55.5
2026-02-08,IOF INTERNACIONAL - GITHUB, INC.GITHUB.COMUS,1.94
2026-02-08,Serasa ExperianSao PauloBR,23.9
2026-02-06,Google OneSAO PAULOBR,96.99
2026-02-06,DL*GOOGLE YouTubSAO PAULOBR,2.99
2026-02-05,Globo GloboplayRJBR,22.9
2026-02-05,THE WALT DISNEY COMPANY (SAO PAULOBR,44.5
2026-02-02,AWS BrazilSao PauloBR,179.55
2026-02-02,NETFLIX.COMSAO PAULOBR,20.9
2026-02-01,AWS BrazilSao PauloBR,148.11
2026-02-01,DL *GOOGLE CLOUD 4GCSzSao PabloBR,47.41
2026-01-27,Turbi Multa J005796575Sao PauloBR,156.19
2026-01-24,EBN*SPOTIFYCURITIBABR,23.9
2026-01-23,ATACADAO 060 ASSAO PAULOBR,132.29
2026-01-23,SEG CARTAO PROTEGIDO,16.39
2026-01-20,5M COMERCIO ATACADISTASAO PAULOBR,215.38
2026-01-19,PAGAMENTO COM SALDO,-6672.34
2026-01-17,TRIMAIS IISAO PAULOBR,150.07
2026-01-14,TOKIO MARINE*AUTOSAO PAULOBR,235.45
2026-01-10,UBER *TRIP HELP.UBER.COMSAO PAULOBR,8.36
2026-01-10,DL*GOOGLE YouTubSAO PAULOBR,26.9
2025-12-31,ATACADAOSAO PAULOBR,126.54
2025-12-31,LOCALIZA RAC ACTAT1SAO PAULOBR,385.9
2025-12-30,DROGARIA SAO PAULO 194SAO PAULOBR,99.02
2025-12-29,Turbi FechamentoSao PauloBR,103.8
2025-12-27,TurbiSao PauloBR,111.01
2025-12-24,RW NEGOCIOS COMERCIAISGUARULHOSBR,133
2025-12-24,LOJAS AMERICANAS 256GUARULHOSBR,83.38
2025-12-24,HNA*OBOTICARIOGUARULHOSBR,58.36
2025-12-24,CENTAURO CE187GUARULHOSBR,59.99
2025-12-22,TurbiSao PauloBR,187.02
2025-12-18,DROGARIA SAO PAULO 194SAO PAULOBR,121.16
2025-12-17,DROGASIL3462SAO PAULOBR,73.74
2025-12-06,MP*BMUTILIDADESSO PAULOBR,185
2025-11-28,KIWIFY*PreparacaoUruguaianaBR,30.71
2025-11-13,LocalizaBelo HorizontBR,171.51
2025-11-08,LocalizaBelo HorizontBR,137.81
2025-10-27,GMP COMERCIO DE ROUPASGUARULHOSBR,101.65
2025-10-15,UNIDAS LOCADORA SPSTSAO PAULOBR,170.33
2025-10-14,RI HAPPY BRINQUEDOS SASAO PAULOBR,54.99
2025-09-04,HOTMART AIPROEXPBELO HORIZONTBR,154.91
