dt_credito,descricao,valor_credito,data_base
2026-01-08,"GITHUB, INC.GITHUB.COMUS",57.0,2026-01-01
2026-01-08,"IOF INTERNACIONAL - GITHUB, INC.GITHUB.COMUS",2.0,2026-01-01
2026-01-08,Serasa ExperianSao PauloBR,23.9,2026-01-01
2026-01-06,Google OneSAO PAULOBR,96.99,2026-01-01
2026-01-06,DL*GOOGLE YouTubSAO PAULOBR,2.99,2026-01-01
2026-01-05,Turbi Fechamento da viSAO PAULOBR,341.27,2026-01-01
2026-01-05,THE WALT DISNEY COMPANY (SAO PAULOBR,44.5,2026-01-01
2026-01-02,AWS BrazilSao PauloBR,187.95,2026-01-01
2026-01-02,NETFLIX.COMSAO PAULOBR,20.9,2026-01-01
2026-01-01,AWS BrazilSao PauloBR,150.4,2026-01-01
2026-01-01,DL *GOOGLE CLOUD wTGCwSao PabloBR,45.68,2026-01-01
2025-12-31,ATACADAOSAO PAULOBR,126.56,2026-01-01
2025-12-31,LOCALIZA RAC ACTAT1SAO PAULOBR,385.92,2026-01-01
2025-12-30,DROGARIA SAO PAULO 194SAO PAULOBR,99.02,2026-01-01
2025-12-29,Turbi FechamentoSao PauloBR,103.83,2026-01-01
2025-12-27,TurbiSao PauloBR,111.05,2026-01-01
2025-12-27,5M COMERCIO ATACADISTASAO PAULOBR,200.0,2026-01-01
2025-12-27,FERNAO DIASSAO PAULOBR,100.0,2026-01-01
2025-12-26,TheBestAcaiVilaSAO PAULOBR,14.54,2026-01-01
2025-12-26,TheBestAcaiVilaSAO PAULOBR,70.32,2026-01-01
2025-12-25,ADEGA DA VILAMAIRIPORABR,164.86,2026-01-01
2025-12-24,EBN*SPOTIFYCURITIBABR,23.9,2026-01-01
2025-12-24,MARGINAL TIETE TATUAPESAO PAULOBR,96.8,2026-01-01
2025-12-24,REDE CONFIANCASAO PAULOBR,110.0,2026-01-01
2025-12-24,RW NEGOCIOS COMERCIAISGUARULHOSBR,133.0,2026-01-01
2025-12-24,BORALECOTIABR,64.9,2026-01-01
2025-12-24,LOJAS AMERICANAS 256GUARULHOSBR,83.39,2026-01-01
2025-12-24,HNA*OBOTICARIOGUARULHOSBR,58.4,2026-01-01
2025-12-24,CENTAURO CE187GUARULHOSBR,60.03,2026-01-01
2025-12-23,SEG CARTAO PROTEGIDO,16.39,2026-01-01
2025-12-22,TurbiSao PauloBR,187.07,2026-01-01
2025-12-18,DROGARIA SAO PAULO 194SAO PAULOBR,121.16,2026-01-01
2025-12-17,DROGASIL3462SAO PAULOBR,73.75,2026-01-01
2025-12-16,Turbi Fechamento da viSAO PAULOBR,26.35,2026-01-01
2025-12-15,PAGAMENTO COM SALDO,-4731.01,2026-01-01
2025-12-14,ENG CAETANO ALVARESSAO PAULOBR,75.7,2026-01-01
