"data";"lançamento";"coluna_sem_nome_3";"valor";"nome_arquivo";"data_base"
"12/12/2024";"Aws Brazil";"";"19.43";"credito_2025_01.xls";"01/01/2025"
"12/12/2024";"Aws Brazil";"";"20.13";"credito_2025_01.xls";"01/01/2025"
"24/12/2024";"Ebn         *spotify";"";"21.9";"credito_2025_01.xls";"01/01/2025"
"01/01/2025";"Google Cloud 77d2qw";"";"49.53";"credito_2025_01.xls";"01/01/2025"
"02/01/2025";"Netflix Entretenimento";"";"20.9";"credito_2025_01.xls";"01/01/2025"
"02/01/2025";"Aws Brazil";"";"21.19";"credito_2025_01.xls";"01/01/2025"
"05/01/2025";"The Walt Disney Company";"";"43.9";"credito_2025_01.xls";"01/01/2025"
"06/01/2025";"Google One Ai Premium";"";"96.99";"credito_2025_01.xls";"01/01/2025"
"23/12/2024";"Lojas Iplace      01/10";"";"300.0";"credito_2025_01.xls";"01/01/2025"
"26/12/2024";"Seg Cartao Protegido";"";"15.58";"credito_2025_01.xls";"01/01/2025"
"21/09/2024";"Localiza Rac Agmtz04/06";"";"54.86";"credito_2025_01.xls";"01/01/2025"
"12/01/2025";"Dl*google Youtub";"";"24.9";"credito_2025_02.xls";"01/02/2025"
"25/01/2025";"Ebn*spotify";"";"21.9";"credito_2025_02.xls";"01/02/2025"
"29/01/2025";"Unidas Locadora Sa";"";"229.98";"credito_2025_02.xls";"01/02/2025"
"29/01/2025";"Unidas Locadora Sa";"";"-229.98";"credito_2025_02.xls";"01/02/2025"
"01/02/2025";"Google Cloud Vpvrnt";"";"52.71";"credito_2025_02.xls";"01/02/2025"
"02/02/2025";"Aws Brazil";"";"20.8";"credito_2025_02.xls";"01/02/2025"
"02/02/2025";"Netflix.com";"";"20.9";"credito_2025_02.xls";"01/02/2025"
"05/02/2025";"The Walt Disney Company";"";"43.9";"credito_2025_02.xls";"01/02/2025"
"06/02/2025";"Google One";"";"96.99";"credito_2025_02.xls";"01/02/2025"
"07/02/2025";"Localiza          01/03";"";"209.94";"credito_2025_02.xls";"01/02/2025"
"23/12/2024";"Lojas Iplace      02/10";"";"300.0";"credito_2025_02.xls";"01/02/2025"
"29/01/2025";"Seg Cartao Protegido";"";"15.58";"credito_2025_02.xls";"01/02/2025"
"30/01/2025";"Unidas Locadora Qt01/03";"";"80.08";"credito_2025_02.xls";"01/02/2025"
"31/01/2025";"Auto Posto Brasil";"";"64.1";"credito_2025_02.xls";"01/02/2025"
"31/01/2025";"Franciscojosede";"";"20.0";"credito_2025_02.xls";"01/02/2025"
"01/02/2025";"Cpimw             01/03";"";"80.68";"credito_2025_02.xls";"01/02/2025"
"21/09/2024";"Localiza Rac Agmtz05/06";"";"54.86";"credito_2025_02.xls";"01/02/2025"
"07/02/2025";"Localiza          02/03";"";"209.94";"credito_2025_03.xls";"01/03/2025"
"07/02/2025";"Localiza";"";"-0.02";"credito_2025_03.xls";"01/03/2025"
"10/02/2025";"Localiza          01/03";"";"69.99";"credito_2025_03.xls";"01/03/2025"
"10/02/2025";"Google Youtube";"";"24.9";"credito_2025_03.xls";"01/03/2025"
"11/02/2025";"Localiza";"";"55.95";"credito_2025_03.xls";"01/03/2025"
"22/02/2025";"Localiza";"";"16.66";"credito_2025_03.xls";"01/03/2025"
"24/02/2025";"Ebn         *spotify";"";"21.9";"credito_2025_03.xls";"01/03/2025"
"27/02/2025";"Localiza - Multas Tran";"";"136.67";"credito_2025_03.xls";"01/03/2025"
"01/03/2025";"Google Cloud 9tprmc";"";"45.0";"credito_2025_03.xls";"01/03/2025"
"02/03/2025";"Netflix Entretenimento";"";"20.9";"credito_2025_03.xls";"01/03/2025"
"02/03/2025";"Aws Brazil";"";"19.92";"credito_2025_03.xls";"01/03/2025"
"05/03/2025";"The Walt Disney Company";"";"43.9";"credito_2025_03.xls";"01/03/2025"
"06/03/2025";"Google One";"";"96.99";"credito_2025_03.xls";"01/03/2025"
"23/12/2024";"Lojas Iplace      03/10";"";"300.0";"credito_2025_03.xls";"01/03/2025"
"30/01/2025";"Unidas Locadora Qt02/03";"";"80.08";"credito_2025_03.xls";"01/03/2025"
"01/02/2025";"Cpimw             02/03";"";"80.68";"credito_2025_03.xls";"01/03/2025"
"01/02/2025";"Cpimw";"";"-0.04";"credito_2025_03.xls";"01/03/2025"
"10/02/2025";"Templu Do Hamburguer It";"";"255.0";"credito_2025_03.xls";"01/03/2025"
"10/02/2025";"Atacadao          01/03";"";"166.68";"credito_2025_03.xls";"01/03/2025"
