dt_custo,descricao,valor_custo,valor_receb,valor_saldo,data_base
2024-12-31,SALDO ANTERIOR,0.0,0.0,-4631.68,2025-01-01
2025-01-02,ELECTRONAP CONFIANC,-44.47,-44.47,0.0,2025-01-01
2025-01-02,PIX QRS Uber01/01,-23.9,-23.9,0.0,2025-01-01
2025-01-02,DEV PIX Uber01/01,23.9,23.9,0.0,2025-01-01
2025-01-02,SABESP      3082129325,-227.21,-227.21,0.0,2025-01-01
2025-01-02,SALDO DO DIA,0.0,0.0,-4903.36,2025-01-01
2025-01-03,IOF,-40.46,-40.46,0.0,2025-01-01
2025-01-03,ELECTRONDanielGoisB,-6.0,-6.0,0.0,2025-01-01
2025-01-03,ELECTRONErotidesLim,-8.0,-8.0,0.0,2025-01-01
2025-01-03,ELECTRONErotidesLim,-15.0,-15.0,0.0,2025-01-01
2025-01-03,ELECTRONPCA N MUNDO,-16.57,-16.57,0.0,2025-01-01
2025-01-03,ELECTRONSUPERMERCAD,-107.41,-107.41,0.0,2025-01-01
2025-01-03,ELECTRONURBIA GESTA,-42.0,-42.0,0.0,2025-01-01
2025-01-03,ELECTRONVENTURINI C,-45.0,-45.0,0.0,2025-01-01
2025-01-03,PAGTO SALARIO,2823.75,2823.75,0.0,2025-01-01
2025-01-03,PIX TRANSF  Caua We03/01,10.0,10.0,0.0,2025-01-01
2025-01-03,TAR PACOTE ITAU   DEZ/24,-92.5,-92.5,0.0,2025-01-01
2025-01-03,SALDO DO DIA,0.0,0.0,-2442.55,2025-01-01
2025-01-06,ELECTRONBURGER KING,-15.9,-15.9,0.0,2025-01-01
2025-01-06,ELECTRONFLAMENGO AC,-20.0,-20.0,0.0,2025-01-01
2025-01-06,ELECTRONFRIGOMUNDO,-14.16,-14.16,0.0,2025-01-01
2025-01-06,ELECTRONPADARIA DEL,-39.99,-39.99,0.0,2025-01-01
2025-01-06,ELECTRONPADARIA DEL,-12.7,-12.7,0.0,2025-01-01
2025-01-06,ELECTRONRS AVILA,-61.48,-61.48,0.0,2025-01-01
2025-01-06,ELECTRONSyscashtyck,-8.0,-8.0,0.0,2025-01-01
2025-01-06,ELECTRONSyscashtyck,-20.0,-20.0,0.0,2025-01-01
2025-01-06,ELECTRONSyscashtyck,-31.0,-31.0,0.0,2025-01-01
2025-01-06,PIX QRS Uber04/01,-21.91,-21.91,0.0,2025-01-01
2025-01-06,PIX TRANSF  ANDRE N06/01,-100.0,-100.0,0.0,2025-01-01
2025-01-06,PIX TRANSF  MICHELL06/01,500.0,500.0,0.0,2025-01-01
2025-01-06,JUROS LIMITE DA CONTA,-251.53,-251.53,0.0,2025-01-01
2025-01-06,DA  CLARO MOVEL 46827990,-57.29,-57.29,0.0,2025-01-01
2025-01-06,SALDO DO DIA,0.0,0.0,-2596.51,2025-01-01
2025-01-07,ELECTRONSyscashtyck,-20.0,-20.0,0.0,2025-01-01
2025-01-07,ELECTRONSyscashtyck,-30.0,-30.0,0.0,2025-01-01
2025-01-07,PIX QRS Uber07/01,-18.91,-18.91,0.0,2025-01-01
2025-01-07,PIX QRS Uber07/01,-19.92,-19.92,0.0,2025-01-01
2025-01-07,PIX QRS Uber07/01,-18.96,-18.96,0.0,2025-01-01
2025-01-07,DEV PIX Uber07/01,18.96,18.96,0.0,2025-01-01
2025-01-07,SALDO DO DIA,0.0,0.0,-2685.34,2025-01-01
2025-01-08,ELECTRONMINI EXTRA-,-7.28,-7.28,0.0,2025-01-01
2025-01-08,ELECTRONRS AVILA,-98.9,-98.9,0.0,2025-01-01
2025-01-08,ELECTRONRS AVILA,-63.74,-63.74,0.0,2025-01-01
2025-01-08,MOBILEPAG TIT BANCO 237,-729.63,-729.63,0.0,2025-01-01
2025-01-08,PIX TRANSF  REAL BR08/01,-130.0,-130.0,0.0,2025-01-01
2025-01-08,PIX TRANSF  JONY AL08/01,50.0,50.0,0.0,2025-01-01
2025-01-08,PIX TRANSF  MAURINI08/01,50.0,50.0,0.0,2025-01-01
2025-01-08,SALDO DO DIA,0.0,0.0,-3614.89,2025-01-01
2025-01-09,ELECTRONRS AVILA,-71.49,-71.49,0.0,2025-01-01
2025-01-09,PIX TRANSF  Joao Br09/01,50.0,50.0,0.0,2025-01-01
2025-01-09,PIX TRANSF  JOHANIS09/01,50.0,50.0,0.0,2025-01-01
2025-01-09,SALDO DO DIA,0.0,0.0,-3586.38,2025-01-01
2025-01-10,ELECTRONImperioAcai,-42.0,-42.0,0.0,2025-01-01
2025-01-10,ELECTRONRaizesMater,-24.0,-24.0,0.0,2025-01-01
2025-01-10,ELECTRONREAL BRASIL,-18.0,-18.0,0.0,2025-01-01
2025-01-10,ELECTRONSyscashtyck,-15.0,-15.0,0.0,2025-01-01
2025-01-10,ELECTRONSyscashtyck,-12.0,-12.0,0.0,2025-01-01
2025-01-10,ELECTRONSyscashtyck,-32.0,-32.0,0.0,2025-01-01
2025-01-10,PIX QRS Uber10/01,-19.9,-19.9,0.0,2025-01-01
2025-01-10,PIX QRS Uber10/01,-19.97,-19.97,0.0,2025-01-01
2025-01-10,PIX TRANSF  Joao Pe10/01,15.0,15.0,0.0,2025-01-01
2025-01-10,PIX TRANSF  JOHANIS10/01,15.0,15.0,0.0,2025-01-01
2025-01-10,PIX TRANSF  MARCOS 10/01,15.0,15.0,0.0,2025-01-01
2025-01-10,SEGURO CARTAO,-8.18,-8.18,0.0,2025-01-01
2025-01-10,SALDO DO DIA,0.0,0.0,-3732.43,2025-01-01
2025-01-13,ELECTRONANTONIO CHI,-12.0,-12.0,0.0,2025-01-01
2025-01-13,ELECTRONDULCE,-24.0,-24.0,0.0,2025-01-01
2025-01-13,ELECTRONFWD BOULEVA,-47.73,-47.73,0.0,2025-01-01
2025-01-13,ELECTRONHNA*OBOTICA,-129.9,-129.9,0.0,2025-01-01
2025-01-13,ELECTRONLUIZ ANTONI,-50.0,-50.0,0.0,2025-01-01
2025-01-13,ELECTRONMAIK GUSHI,-20.0,-20.0,0.0,2025-01-01
2025-01-13,ELECTRONMP*GILMAR15,-5.0,-5.0,0.0,2025-01-01
2025-01-13,ELECTRONOrielPereir,-60.0,-60.0,0.0,2025-01-01
2025-01-13,ELECTRONPkf,-35.0,-35.0,0.0,2025-01-01
2025-01-13,ELECTRONPG *TON CAS,-15.0,-15.0,0.0,2025-01-01
2025-01-13,ELECTRONPG *TON FEI,-16.0,-16.0,0.0,2025-01-01
2025-01-13,ELECTRONPONTO DA ES,-84.0,-84.0,0.0,2025-01-01
2025-01-13,ELECTRONPRICILA ELA,-15.0,-15.0,0.0,2025-01-01
2025-01-13,ELECTRONRobinson,-30.0,-30.0,0.0,2025-01-01
2025-01-13,ELECTRONRobsonHonor,-27.0,-27.0,0.0,2025-01-01
2025-01-13,ELECTRONRosileneDaS,-10.0,-10.0,0.0,2025-01-01
2025-01-13,ELECTRONSyscashtyck,-16.0,-16.0,0.0,2025-01-01
2025-01-13,ELECTRONSP SAO PAUL,-13.9,-13.9,0.0,2025-01-01
2025-01-13,ELECTRONTATUAPE 2 P,-9.9,-9.9,0.0,2025-01-01
2025-01-13,PIX QRS Jose August13/01,-4.0,-4.0,0.0,2025-01-01
2025-01-13,PIX QRS Uber13/01,-15.91,-15.91,0.0,2025-01-01
2025-01-13,PIX QRS Uber13/01,-18.91,-18.91,0.0,2025-01-01
2025-01-13,PIX QRS Uber13/01,-15.98,-15.98,0.0,2025-01-01
2025-01-13,DEV PIX Uber13/01,15.91,15.91,0.0,2025-01-01
2025-01-13,PIX TRANSF  MARCELO13/01,50.0,50.0,0.0,2025-01-01
2025-01-13,PIX TRANSF  MICHELL11/01,40.0,40.0,0.0,2025-01-01
2025-01-13,DEB AUTOR UNICEF,-85.0,-85.0,0.0,2025-01-01
2025-01-13,SALDO DO DIA,0.0,0.0,-4386.75,2025-01-01
2025-01-14,ELECTRONBB TRANSPOR,-20.0,-20.0,0.0,2025-01-01
2025-01-14,ELECTRONMETRO SAO P,-10.0,-10.0,0.0,2025-01-01
2025-01-14,ELECTRONReginaldoca,-8.0,-8.0,0.0,2025-01-01
2025-01-14,ELECTRONRC CONFEITA,-20.0,-20.0,0.0,2025-01-01
2025-01-14,ELECTRONRESTAURANTE,-37.0,-37.0,0.0,2025-01-01
2025-01-14,PIX TRANSF  THIAGO 14/01,50.0,50.0,0.0,2025-01-01
2025-01-14,SALDO DO DIA,0.0,0.0,-4431.75,2025-01-01
2025-01-15,ELECTRONRS AVILA,-94.12,-94.12,0.0,2025-01-01
2025-01-15,PAGTO ADIANT SALARIAL,3567.04,3567.04,0.0,2025-01-01
2025-01-15,PIX TRANSF  JULIANO15/01,50.0,50.0,0.0,2025-01-01
2025-01-15,DA  CLARO MOVEL 66459258,-149.9,-149.9,0.0,2025-01-01
2025-01-15,SALDO DO DIA,0.0,0.0,-1058.73,2025-01-01
2025-01-16,ELECTRONPadariaChar,-60.0,-60.0,0.0,2025-01-01
2025-01-16,ELECTRONQUITANDA E,-21.9,-21.9,0.0,2025-01-01
2025-01-16,PIX QRS CEA PAY FUN16/01,-205.07,-205.07,0.0,2025-01-01
2025-01-16,INT ITAU VISA,-664.41,-664.41,0.0,2025-01-01
2025-01-16,PIX TRANSF  Anselmo16/01,50.0,50.0,0.0,2025-01-01
2025-01-16,SALDO DO DIA,0.0,0.0,-1960.11,2025-01-01
2025-01-17,SAQUE BANCO24H517982762,-50.0,-50.0,0.0,2025-01-01
2025-01-17,ELECTRONLA ITALIA,-12.0,-12.0,0.0,2025-01-01
2025-01-17,ELECTRONRS AVILA,-82.16,-82.16,0.0,2025-01-01
2025-01-17,ELECTRON48 882 424,-100.0,-100.0,0.0,2025-01-01
2025-01-17,PIX QRS 52 052 824 17/01,-84.8,-84.8,0.0,2025-01-01
2025-01-17,PIX TRANSF  REAL BR17/01,-800.0,-800.0,0.0,2025-01-01
2025-01-17,PIX TRANSF  CLAUDIO17/01,30.0,30.0,0.0,2025-01-01
2025-01-17,PIX TRANSF  COSME J17/01,50.0,50.0,0.0,2025-01-01
