"de_para";"valor"
"ELECTRONPAG*OrielPe";"feira-frutas"
"ELECTRONPAG*Rosilen";"feira-alho"
"ELECTRONPAG*Robinso";"feira-frango"
"ELECTRONPAG*Rosilen";"feira-alho"
"ELECTRONPAG*Misslei";"feira-legumes"
"ELECTRONPAG*CassioA";"feira-tapioca"
"ELECTRONPAG*JoseAdr";"feira-frutas"
"ELECTRONPG *TON FEI";"Feira-legumes"
"ELECTRONBABANAS VIT";"feira-frutas"
"ELECTRONPAG*Rodrigo";"feira-ovos"
"ELECTRONPONTO DA ES";"alimentacao"
"ELECTRONPAG*VictorH";"alimentacao"
"PIX QRS B2W COMPANH22/07";"americanas"
"ELECTRONBOCA DA ONC";"viagem"
"ELECTRONBOX CAR";"compras"
"ELECTRONGABRIELA PO";"compras"
"TAR PACOTE ITAU   JUN/23";"banco"
"ELECTRONJULIO BUONO";"compras"
"ELECTRON001";"mercado"
"ELECTRONPAG*Arqueni";"pessoa"
"ELECTRONPAG*WmgEsta";"pessoa"
"ELECTRONINTERNACION";"shopping"
"ELECTRONBANANA SPLI";"alimentacao"
"ELECTRONMAY BUSTANI";"compras"
"ELECTRONSALGADO E A";"alimentacao"
"ELECTRONSILVIO NAKA";"compras"
"ELECTRONMAY BUSTANI";"compras"
"ELECTRONMAY BUSTANI";"compras"
"ELECTRONREI DO OLEO";"carro"
"ELECTRONLEO COSMETI";"compras"
"ELECTRONLEO COSMETI";"compras"
"ELECTRONMCB COMERCI";"compras"
"ELECTRONRODO STOP";"compras"
"ELECTRONTALISMA CAS";"compras"
"ELECTRONIVANE VANZE";"compras"
"ELECTRONPAG*LUCASVI";"compras"
"ELECTRONS S P";"compras"
"ELECTRONSANTANA DRI";"compras"
"FINANC IMOBILIARIO   016";"financiamento"
"ELECTRONCOMERCIAL N";"compras"
"ELECTRONNIELLY NATH";"compras"
"ELECTRONFRUTAS SERG";"Feira-frutas"
"PIX TRANSF  Matheus29/07";"alimentacao"
"PIX TRANSF  erlonds02/06";"cabeleireiro"
"PIX TRANSF  Mayara 02/06";"pipoca"
"TAR PACOTE ITAU   MAI/23";"banco"
"ELECTRONRENATO GOME";"compras"
"PIX TRANSF  Cristia04/06";"compras"
"PIX QRS Shopee12/06";"shopee"
"PIX TRANSF  EDMILSO12/06";"churros"
"ELECTRONDJM BAZAR L";"compras"
"PIX QRS SHPP B I P 20/06";"compras"
"FINANC IMOBILIARIO   015";"financiamento"
"ELECTRONGEORGE S TO";"compras"
"ELECTRONMAIK GUSHI";"compras"
"PIX TRANSF  erlonds27/06";"cabeleireiro"
"PIX TRANSF  EDMILSO28/06";"churros"
"PIX TRANSF  EDMILSO03/04";"churros"
"TAR PACOTE ITAU   MAR/23";"banco"
"PIX TRANSF  EDMILSO06/04";"churros"
"PIX TRANSF  EDMILSO12/04";"churros"
"PIX TRANSF  EDMILSO18/04";"churros"
"FINANC IMOBILIARIO   013";"financiamento"
"PIX TRANSF  EDMILSO27/04";"churros"
"PIX TRANSF  TAMINIE28/04";"pessoa"
"APM – Creche Eloha";"creche"
"compras";"compras"
"estacionamento";"estacionamento"
"compras";"compras"
"TAR PACOTE ITAU   DEZ/22";"banco"
"ELECTRONPG *TON BAR";"compras"
"ELECTRONJOSE ADRIAN";"compras"
"FINANC IMOBILIARIO   010";"financiamento"
"MOBILEPAG TIT BANCO 001";"boleto"
"TAR PACOTE ITAU   JAN/23";"banco"
"PIX QRS CASA LOTERI06/02";"transporte"
"PIX TRANSF  POUPETR06/02";"compras"
"ELECTRONFDI FERNAO";"compras"
"ELECTRONPERTO SA";"compras"
"PIX TRANSF  EDMILSO15/02";"churros"
"ELECTRONPAG*LUCASVI";"feira-frutas"
"FINANC IMOBILIARIO   011";"financiamento"
"PIX TRANSF  EDMILSO24/02";"churros"
"PIX TRANSF  EDMILSO28/02";"churros"
"PIX TRANSF  EDMILSO02/05";"churros"
"TAR PACOTE ITAU   ABR/23";"banco"
"PIX TRANSF  EDMILSO08/05";"churros"
"PIX TRANSF  erlonds09/05";"cabeleireiro"
"ELECTRONMP*MANOEL";"compras"
"ELECTRONPAG*LUCASVI";"compras"
"PIX QRS LOJA ELECTR17/05";"compras"
"PIX TRANSF  EDMILSO18/05";"churros"
"ELECTRONARENA NOVO";"compras"
"ELECTRONARENA NOVO";"compras"
"FINANC IMOBILIARIO   014";"financiamento"
"PIX QRS SHPP B I P 24/05";"compras"
"ELECTRONS L BENFICA";"alimentacao"
"ELECTRONNEW CENTER";"compras"
"Ame Digital";"ame"
"Netflix.com";"netflix"
"Uber   *uber   *trip";"uber"
"Auto Posto Lutaif";"carro"
"Auto Socorro-ct Ia03/06";"carro"
